date,time,latitude,longitude,depth,magnitude,som_zone,global_cluster,is_aftershock
1985-04-28,1985-04-28 23:00:56.400,-37.58,176.53999,12.0,5.014,12,-1,0
1985-05-01,1985-05-01 03:12:55.590,-38.04,176.21001,208.0,4.929,22,-1,0
1985-05-06,1985-05-06 17:10:05.200,-37.69,179.73,33.0,6.3,8,-1,0
1985-05-08,1985-05-08 23:09:56.050,-36.23,178.7,138.0,5.014,9,-1,0
1985-05-22,1985-05-22 06:56:07.540,-37.62,-179.44,33.0,5.05,8,-1,0
1985-05-29,1985-05-29 09:18:11.610,-37.53,-179.84,33.0,4.88,8,-1,0
1985-06-08,1985-06-08 08:22:54.300,-37.5,-179.77,33.0,4.855,8,-1,0
1985-06-12,1985-06-12 02:04:07.620,-45.13,167.67,86.0,5.1,32,-1,0
1985-06-24,1985-06-24 17:54:03.000,-37.72,-179.0,33.0,5.086,8,-1,0
1985-06-28,1985-06-28 18:54:15.450,-37.82,179.67,33.0,5.7,8,-1,0
1985-07-04,1985-07-04 05:24:21.790,-37.4,176.63,204.0,5.117,16,-1,0
1985-07-05,1985-07-05 22:51:17.320,-37.57,-179.78999,33.0,4.965,8,-1,0
1985-07-19,1985-07-19 14:33:59.400,-38.77,177.42,41.0,5.9,13,-1,0
1985-07-20,1985-07-20 19:11:22.540,-38.82,177.41,41.0,5.08,13,-1,0
1985-09-12,1985-09-12 12:53:02.400,-45.43,166.95,33.0,5.143,33,-1,0
1985-09-14,1985-09-14 02:54:19.490,-37.97,177.09,77.0,5.175,14,-1,0
1985-09-21,1985-09-21 13:50:15.730,-46.79,165.33,33.0,5.09,31,-1,0
1985-09-26,1985-09-26 07:27:49.880,-34.64,-178.02,33.0,6.9,3,-1,0
1985-09-27,1985-09-27 11:42:00.970,-37.81,176.27,206.0,5.183,22,-1,0
1985-09-30,1985-09-30 15:02:26.480,-45.12,167.63,119.0,5.117,32,-1,0
1985-11-01,1985-11-01 14:44:19.400,-38.73,177.10001,52.0,5.2,13,-1,0
1985-11-07,1985-11-07 19:12:32.700,-35.42,-178.77,33.0,6.5,2,-1,0
1985-11-26,1985-11-26 08:24:18.130,-34.77,177.11,12.0,5.133,6,-1,0
1985-11-27,1985-11-27 02:01:38.480,-36.98,178.24001,12.0,5.028,7,-1,0
1986-02-12,1986-02-12 22:32:32.300,-40.04,176.92,33.0,4.927,19,-1,0
1986-02-24,1986-02-24 16:24:56.230,-37.81,176.48,181.0,5.0,15,-1,0
1986-03-04,1986-03-04 08:56:58.330,-36.97,176.96001,244.0,5.367,16,-1,0
1986-03-09,1986-03-09 09:17:51.500,-40.33,173.42,220.0,5.656,28,-1,0
1986-04-03,1986-04-03 14:09:03.480,-45.86,164.75,33.0,5.246,31,-1,0
1986-04-27,1986-04-27 21:45:51.640,-35.73,178.37,226.0,5.1,10,-1,0
1986-05-09,1986-05-09 07:27:33.910,-37.62,-179.7,33.0,5.089,8,-1,0
1986-05-16,1986-05-16 00:27:40.370,-39.38,175.17,120.0,5.011,20,-1,0
1986-06-20,1986-06-20 23:26:34.880,-36.22,177.38,285.0,5.013,17,-1,0
1986-07-01,1986-07-01 13:36:09.310,-37.7,179.52,33.0,4.886,8,-1,0
1986-07-10,1986-07-10 20:36:27.910,-37.02,176.99001,243.0,5.371,16,-1,0
1986-07-11,1986-07-11 08:27:47.970,-46.0,166.22,33.0,5.6,33,-1,0
1986-07-11,1986-07-11 23:03:32.480,-43.23,172.14,12.0,5.238,24,-1,0
1986-07-14,1986-07-14 17:03:09.000,-40.53,174.28,107.0,5.243,27,-1,0
1986-07-28,1986-07-28 11:48:32.300,-39.19,175.06,175.0,5.3,21,-1,0
1986-09-13,1986-09-13 15:17:33.920,-32.76,-179.88,112.0,6.391,3,-1,0
1986-09-18,1986-09-18 01:05:41.680,-42.96,171.42,5.0,5.183,24,-1,0
1986-10-10,1986-10-10 00:34:15.910,-39.67,176.31,33.0,4.879,19,-1,0
1986-10-15,1986-10-15 15:05:21.070,-45.12,167.62,117.0,4.983,32,-1,0
1986-10-27,1986-10-27 04:25:21.370,-38.73,175.78999,152.0,5.9,21,-1,0
1986-11-05,1986-11-05 12:40:36.470,-37.11,177.61,114.0,5.0,15,-1,0
1986-11-18,1986-11-18 10:15:56.860,-36.26,177.78,276.0,5.3,10,-1,0
1986-12-25,1986-12-25 17:09:09.460,-38.4,176.00999,179.0,4.942,21,-1,0
1986-12-30,1986-12-30 13:07:58.500,-40.22,173.48,181.0,4.938,28,-1,0
1987-01-11,1987-01-11 01:13:33.190,-39.08675,174.95267,238.7106,5.065,23,-1,0
1987-01-19,1987-01-19 13:31:47.130,-32.95848,-178.79474,482.4184,4.859,11,-1,0
1987-01-20,1987-01-20 15:17:10.700,-32.48371,178.70644,449.4326,4.858,11,-1,0
1987-01-23,1987-01-23 15:25:20.220,-37.28022,177.58414,78.536,4.876,12,-1,0
1987-01-28,1987-01-28 00:49:15.970,-38.57342,175.46051,280.2487,4.977,23,-1,0
1987-01-30,1987-01-30 11:12:21.220,-37.99265,176.91614,92.5131,4.889,14,-1,0
1987-02-03,1987-02-03 00:26:57.870,-33.33334,-178.39745,33.0,4.986,3,-1,0
1987-02-04,1987-02-04 16:06:40.230,-34.27221,-179.32321,33.0,5.5,3,-1,0
1987-02-05,1987-02-05 23:39:12.950,-37.30408,177.7627,103.3699,5.01,14,-1,0
1987-03-02,1987-03-02 01:35:36.140,-37.89442,176.83902,0.4178,4.943,12,50,1
1987-03-02,1987-03-02 01:42:34.990,-37.89126,176.80247,10.0,6.5,12,50,1
1987-03-02,1987-03-02 01:50:57.770,-37.90633,176.72926,11.0,5.567,12,50,1
1987-03-02,1987-03-02 02:07:49.770,-38.09999,176.64999,5.0,4.979,12,50,1
1987-03-02,1987-03-02 07:55:08.160,-37.88496,176.83823,1.2331,4.961,12,50,1
1987-03-03,1987-03-03 13:16:18.050,-32.61535,-178.41675,460.3513,4.872,11,-1,0
1987-03-05,1987-03-05 06:05:32.000,-33.76228,-179.2101,12.0,4.856,3,-1,0
1987-03-07,1987-03-07 07:57:07.840,-33.78493,-179.32896,209.3185,5.791,3,-1,0
1987-03-08,1987-03-08 09:22:55.140,-37.71696,176.2856,225.5191,5.062,22,-1,0
1987-03-08,1987-03-08 19:17:58.970,-43.22079,173.20132,30.0,5.169,24,-1,0
1987-03-11,1987-03-11 02:50:47.630,-33.44232,-179.92993,99.2708,5.3,3,-1,0
1987-03-15,1987-03-15 21:44:04.220,-33.17054,-179.26093,267.667,5.088,11,-1,0
1987-03-18,1987-03-18 13:37:36.730,-33.9752,179.96533,356.1777,5.084,11,-1,0
1987-03-20,1987-03-20 23:12:07.370,-37.32397,176.78302,187.015,5.086,15,-1,0
1987-03-22,1987-03-22 12:12:35.810,-37.17083,176.75157,358.8378,5.4,17,-1,0
1987-03-26,1987-03-26 20:52:07.140,-34.30436,179.66302,236.6376,5.039,3,-1,0
1987-04-06,1987-04-06 17:35:32.980,-33.89054,177.39194,619.194,5.333,10,-1,0
1987-05-04,1987-05-04 09:44:18.050,-39.06245,174.92142,227.4798,4.917,23,-1,0
1987-06-08,1987-06-08 03:11:39.620,-33.04809,-178.58192,290.0986,4.92,11,-1,0
1987-06-11,1987-06-11 01:53:41.700,-32.42702,176.9742,385.86,4.895,10,-1,0
1987-06-14,1987-06-14 05:04:26.960,-35.27621,-178.72989,33.0,5.008,2,-1,0
1987-06-22,1987-06-22 17:23:53.290,-42.61115,172.37332,12.0,4.881,24,-1,0
1987-06-26,1987-06-26 10:04:52.530,-36.79811,177.0961,300.4077,5.508,17,-1,0
1987-06-27,1987-06-27 22:17:16.680,-38.28548,177.86618,80.314,4.89,14,-1,0
1987-07-03,1987-07-03 22:58:27.830,-41.27008,178.58928,33.0,5.1,19,-1,0
1987-07-05,1987-07-05 20:06:51.980,-36.7419,177.47203,147.493,5.156,15,-1,0
