date,time,latitude,longitude,depth,magnitude
1988-11-15,05:24:22.46,-35.61466,179.15675,106.3498,5.399
1988-11-16,07:20:23.08,-41.50488,178.31314,38.1535,5.437
1988-11-20,08:03:18.66,-32.90859,-179.27898,235.3556,4.94
1988-11-20,16:11:48.82,-39.02248,175.36372,118.0137,5.453
1988-11-21,13:46:26.85,-37.80708,176.12689,285.1986,4.885
1988-11-21,19:49:35.75,-36.03016,178.02409,245.273,4.982
1988-11-22,07:55:09.33,-34.79809,-178.18317,256.3897,5.27
1988-11-27,22:31:11.65,-38.37806,175.85916,159.6846,4.888
1988-11-27,23:59:56.81,-34.21707,-177.42958,125.2565,5.513
1988-12-02,00:46:02.65,-35.8878,179.00114,100.2876,4.894
1988-12-17,20:21:36.15,-36.00588,178.069,235.5042,5.55
1989-01-07,01:53:18.22,-36.48583,177.44881,281.4587,4.857
1989-01-09,19:23:48.14,-37.24845,177.85037,51.6666,4.903
1989-01-10,23:40:01.88,-41.41442,172.95174,88.6387,4.872
1989-01-31,07:54:42.63,-41.39493,174.71495,59.5623,4.863
1989-02-04,04:32:24.55,-37.28328,176.75397,263.2313,4.973
1989-02-06,17:48:09.86,-35.19977,179.25365,260.5696,5.168
1989-03-11,05:21:35.22,-40.13821,173.64172,151.4296,5.122
1989-04-01,12:06:48.43,-37.7953,176.31873,191.2011,5.173
1989-04-11,12:19:24.94,-38.12194,175.91914,224.2617,4.857
1989-04-17,13:05:16.03,-37.87112,175.86182,296.0894,6.088
1989-04-23,03:00:04.48,-40.44706,175.98631,33.0,4.925
1989-04-23,06:45:54.09,-37.52245,176.55611,295.468,5.359
1989-04-28,14:04:05.99,-34.14867,177.40945,33.0,4.858
1989-05-07,03:18:40.59,-34.19057,177.00552,33.0,4.878
1989-05-25,13:01:35.48,-36.66094,177.22275,258.6172,5.3
1989-05-30,05:59:29.57,-44.91006,174.81804,96.0521,4.865
1989-05-31,05:54:23.12,-45.32543,166.86928,23.0,6.4
1989-06-25,19:50:07.06,-37.53693,176.2569,305.2448,5.078
1989-07-03,11:15:31.15,-34.50413,-178.61327,218.9778,4.926
1989-07-07,03:40:41.14,-37.122,176.62296,356.6041,5.589
1989-07-24,11:58:34.88,-45.20902,166.81174,12.0,4.9
1989-08-08,07:59:06.85,-40.09633,174.41025,122.2141,5.4
1989-09-03,20:52:18.69,-37.7689,177.58278,49.2205,5.25
1989-09-21,17:50:43.86,-40.22442,176.7485,62.1397,4.965
1989-09-28,10:40:07.81,-37.80351,176.13408,284.3995,4.914
1989-10-01,10:58:22.20,-38.37068,175.80615,195.0448,4.886
1989-10-06,10:10:31.82,-37.03846,177.5545,144.5497,4.957
1989-10-08,22:24:34.89,-47.74015,165.76982,71.6825,4.977
1989-10-21,14:16:24.86,-37.88915,175.98744,300.025,5.34
1989-10-24,20:11:43.30,-37.1569,176.94331,209.9824,4.892
1989-10-27,08:35:25.32,-37.5028,176.82703,221.0843,5.082
1989-11-11,10:38:22.27,-37.24391,176.73454,249.3576,4.948
